"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning","List Price"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261256732/0/60/45/a088909d8daf87b33dd560a3b256b97b/16/4409ba8424d645ceab5e45d33e574850/261256732.JPG","V1085477","Residential Attached","S","16 900 W 17TH STREET","Hamilton","24","3","1986","0.00","Townhouse","North Vancouver","003-423-352","V7P 3K5",,,,"$511,000","0.99","$439.38","10/9/2014","Townhouse","2","MF","$517,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261296637/0/60/45/07e9ed9b29c3324afc5991578bb61ba7/16/6297f4dc9215f9ccebace6c81ee2b7bf/261296637.JPG","V1088530","Residential Attached","S","600 9330 UNIVERSITY CRESCENT","Simon Fraser Univer.","3","3","2004","0.00","Apartment/Condo","Burnaby North","026-316-374","V5A 4X9",,,,"$512,000","0.97","$429.53","10/5/2014","Apartment/Condo","2","RES","$528,888"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261291386/0/60/45/ca19062b824235a7e6b37c41063433bf/16/6576b14d6c667e0a3878a1743533759b/261291386.JPG","V1088180","Residential Attached","S","2206 2232 DOUGLAS ROAD","Brentwood Park","9","2","2012","0.00","Apartment/Condo","Burnaby North","028-778-430","V5C 0G9",,,,"$512,000","0.97","$571.43","10/10/2014","Apartment/Condo","2","RM5","$529,900"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261292156/0/60/45/e71e188d8571a5e33c24e76e8e3d0d60/16/dd6a25a5c684858b9a044b7582d533f8/261292156.JPG","V1088203","Residential Detached","S","3749 HAMILTON STREET","Lincoln Park PQ","3","4","1974","6,007.00","House/Single Family","Port Coquitlam","005-402-573","V3B 3A2","61.80",,,"$513,000","0.99","$201.18","10/5/2014","House/Single Family","3","RS-1","$519,900"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261221085/0/60/45/e98b09845a3b9acaadc6a9dbb9267f44/16/3b7722af65fd5f1af98c147e800de495/261221085.JPG","V1082984","Residential Attached","S","2205 108 W CORDOVA STREET","Downtown VW","40","1","2009","0.00","Apartment/Condo","Vancouver West","028-059-255","V6B 0G5",,,,"$513,000","0.95","$691.37","10/13/2014","Apartment/Condo","1","CD-1","$539,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261107563/0/60/45/68c92465d8b31b2fd775170f1914394a/14/67e015b1e8026f757dea44136e14f12e/261107563.JPG","F1416972","Residential Detached","S","2708 TYLNEY LANE","Abbotsford East","102","4","2014","4,822.00","House/Single Family","Abbotsford","027-748-138","V2S 0C3","45.89",,,"$514,285","1.01","$195.03","10/13/2014","House/Single Family","3","RS5","$509,900"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261221199/0/60/45/9fc908e900f802fd1f166ea72b96fb55/16/4c04b9c0fce1e1b252819f8461c838bd/261221199.JPG","V1082659","Residential Attached","S","210 2601 WHITELEY COURT","Lynn Valley","34","2","2009","0.00","Apartment/Condo","North Vancouver","027-856-623","V7J 2R7",,,,"$516,000","0.97","$521.21","10/6/2014","Apartment/Condo","2","CD-56","$529,900"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261256157/0/60/45/447a73afe315473739090d53e2c84da1/16/d453076ad3dd43866ab6c9d4a9786eac/261256157.JPG","V1085431","Residential Attached","S","2102 58 KEEFER PLACE","Downtown VW","20","2","2007","0.00","Apartment/Condo","Vancouver West","027-047-032","V6B 0B8",,,,"$516,500","0.97","$609.08","10/6/2014","Apartment/Condo","2","MF","$535,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261202817/0/60/45/bbd3db3de22c801e562a611057dcee76/15/0c6edc889b20aadd56dac7cbbc01272c/261202817.JPG","F1420695","Residential Detached","S","14073 76TH AVENUE","East Newton","48","5","1979","7,200.00","House/Single Family","Surrey","004-144-881","V3W 6K7","60.00",,,"$517,000","0.94","$216.59","10/9/2014","House/Single Family","3","SFD","$549,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261278070/0/60/45/a6aed1e9e4bf133f0d65c152c9234348/16/6274f70767e27702fa24a15adb31632a/261278070.JPG","V1087105","Residential Attached","S","11 8531 BENNETT ROAD","Brighouse South","13","3","1987","0.00","Townhouse","Richmond","004-842-413","V6Y 3M7",,,,"$517,000","0.99","$365.37","10/8/2014","Townhouse","3","RAM1","$525,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260899143/0/60/45/0d1e224a1dd42060391a3edbca9cd4c1/16/516880642cef3d8fe103e24e2b043820/260899143.JPG","V1057596","Residential Attached","S","303 2102 W 38TH AVENUE","Kerrisdale","184","2","2001","0.00","Apartment/Condo","Vancouver West","025-099-680","V6M 1R9",,,,"$518,800","0.97","$534.85","10/8/2014","Apartment/Condo","2","APT","$537,000"
