"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262313178/0/60/45/bebaa50d386cacf8bb7447a432d1a9c5/13/2875cfe0b1160bdeeb9ba091cbd7b31c/262313178.JPG","R2291551","Residential Detached","S","171 NICHOLSON STREET","Quinson","$275,000","5","4","1963","0.00","House/Single Family","PG City West (Zone 71)","008-422-222","V2M 3L6","0.00",,,"$275,000","0.95","$127.08","7/24/2018","House/Single Family","2","RS2"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262307979/0/60/45/8ba021c09154554f90fa3a61097a814a/16/8fced21d8256647ef39a239d36abf126/262307979.JPG","R2286352","Residential Detached","S","17 1123 FLUME ROAD","Roberts Creek","$277,000","13","3","1993","0.00","Manufactured","Sunshine Coast","800-123-008","V0N 2W2","0.00",,,"$277,000","1.00","$189.47","7/17/2018","Manufactured","2","RM2"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262308055/0/60/45/3191a1f81d36d809d915cc34bb63d0e4/16/8cee04efe2784489fb39d3905f387efd/262308055.JPG","R2286428","Residential Attached","S","211 12170 222 STREET","West Central","$277,500","3","2","1977","0.00","Apartment/Condo","Maple Ridge","000-488-160","V2X 8H1",,,,"$277,500","1.16","$312.50","7/8/2018","Apartment/Condo","1","APT"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262304311/0/60/45/a7fc6727368a976f62ba719cb49699ce/13/bfdbf14e2770d491043e5dcd85607e54/262304311.JPG","R2282684","Residential Detached","S","3613 FIRECREEK AVENUE","Thornhill","$278,000","18","2","9999","0.00","House/Single Family","Terrace (Zone 88)","008-989-541","V8G 4Y5","0.00",,,"$278,000","0.98","$283.67","7/6/2018","House/Single Family","1","R1"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262309369/0/60/45/4f3f873fd5d2a7bcaa5edf0ecb4a0616/16/d4779e1fde5396a10a32804b17e9c448/262309369.JPG","R2287742","Residential Attached","S","114 32850 GEORGE FERGUSON WAY","Central Abbotsford","$279,900","3","2","1976","0.00","Apartment/Condo","Abbotsford","017-791-693","V2S 7K1",,,,"$279,900","0.97","$305.90","7/13/2018","Apartment/Condo","1","RML"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262310266/0/60/45/fd3a02d7d06f064b5a3934cf08fde944/16/a87ebf384a5d13008961fdeb5a507e6d/262310266.JPG","R2288639","Land Only","S","4 PASSAGE ISLAND","Howe Sound","$280,000","3",,,"14,805.00",,"West Vancouver","008-972-451","V7W 1V7",,"Water Access","House/Single Family","$280,000","0.85","$18.91","7/13/2018","Other",,"RES"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262302670/0/60/45/432b0e2c10000aff9c9e853cd5661ca4/14/cc4bd8297f73669b3d0cd84e30bf681f/262302670.JPG","R2281043","Residential Attached","S","2 9473 HAZEL STREET","Chilliwack E Young-Yale","$280,000","36","3","1977","0.00","Townhouse","Chilliwack","001-527-223","V2P 5M9",,,,"$280,000","0.98","$243.06","7/20/2018","Townhouse","2","R4"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262308016/0/60/45/4e66e62ac8dec17669a4c2a1a9c948d7/14/a32f6a1082bb10a659d61477395f3781/262308016.JPG","R2286389","Residential Attached","S","18 5352 VEDDER ROAD","Vedder S Watson-Promontory","$284,750","15","2","1993","0.00","Townhouse","Sardis","018-228-054","V2R 3S7",,,,"$284,750","1.00","$290.56","7/18/2018","Townhouse","2","R5"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262309404/0/60/45/2317decd7f878e72b4dd96dbeb680b2c/14/8ea0a213c5f98ceb17e1c138fe67e6c1/262309404.JPG","R2287777","Residential Attached","S","319 7694 EVANS ROAD","Sardis West Vedder Rd","$285,000","2","2","1994","0.00","Apartment/Condo","Sardis","018-691-081","V2R 3W3",,,,"$285,000","0.97","$293.21","7/11/2018","Apartment/Condo","2","R5"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262231156/0/60/45/3fcad9600c4c47824b9592a753fd02bc/13/48e369d19c4a0a9ca35f8d6eff1b604f/262231156.JPG","R2209529","Residential Detached","S","12279 COTTONWOOD AVENUE","Lakeshore","$285,000","283","3","9999","0.00","House/Single Family","Fort St. John (Zone 60)","012-807-044","V0C 1H0","0.00",,,"$285,000","0.95","$200.14","7/5/2018","House/Single Family","2","R3"
