"mls";"prop_type";"status";"address";"area";"sub_area";"type_of_dwelling";"sold_price";"year_built";"days_to_sold";"tot_bedrooms";"sold_date";"postal_code"
"V1052011";"Residential Detached";"Sold";"3076 PLATEAU BOULEVARD";"Coquitlam";"Westwood Plateau";"House/Single Family";"1728000.00";"1995";"233";"7";"2014-10-26";"V3E 2Y7"
"V1052318";"Residential Detached";"Sold";"842 WESTWOOD STREET";"Coquitlam";"Meadow Brook";"House/Single Family";"439000.00";"1946";"229";"2";"2014-10-26";"V3C 3L2"
"V1053368";"Residential Detached";"Sold";"4493 RUMBLE STREET";"Burnaby South";"Metrotown";"House/Single Family";"1358000.00";"2002";"226";"8";"2014-10-26";"V5J 2A4"
"V1053543";"Residential Attached";"Sold";"55 11252 COTTONWOOD DRIVE";"Maple Ridge";"Cottonwood MR";"Townhouse";"329900.00";"2014";"224";"3";"2014-10-27";"V0V 0V0"
"V1054406";"Residential Detached";"Sold";"11811 MONTEGO STREET";"Richmond";"East Cambie";"House/Single Family";"1035000.00";"2004";"219";"7";"2014-10-27";"V6X 1H6"
"V1054603";"Residential Detached";"Sold";"8811 CULLEN CRESCENT";"Richmond";"Broadmoor";"House/Single Family";"1100000.00";"1976";"213";"4";"2014-10-23";"V6Y 2W9"
"V1054642";"Residential Detached";"Sold";"3416 DEVONSHIRE AVENUE";"Coquitlam";"Burke Mountain";"House/Single Family";"898500.00";"2013";"210";"5";"2014-10-21";"V0V 0V0"
"V1055200";"Residential Detached";"Sold";"1712 HAMPTON DRIVE";"Coquitlam";"Westwood Plateau";"House/Single Family";"1200000.00";"1997";"208";"6";"2014-10-22";"V3E 3C9"
"V1055241";"Residential Attached";"Sold";"4 4099 WHISTLER WAY";"Whistler";"Whistler Village";"Townhouse";"1500000.00";"1987";"208";"3";"2014-10-20";"V0N 1B4"
"V1055385";"Residential Detached";"Sold";"5155 HEADLAND DRIVE";"West Vancouver";"Upper Caulfeild";"House/Single Family";"1820000.00";"1981";"205";"5";"2014-10-22";"V7W 2W9"
"V1055537";"Residential Attached";"Sold";"304 1590 W 8TH AVENUE";"Vancouver West";"Fairview VW";"Apartment/Condo";"490000.00";"1992";"209";"1";"2014-10-26";"V6J 4R8"
"V1055613";"Residential Attached";"Sold";"3344 MT SEYMOUR PARKWAY";"North Vancouver";"Northlands";"Townhouse";"747897.00";"2013";"209";"3";"2014-10-27";"V7H 1G3"
"V1055707";"Residential Attached";"Sold";"606 538 W 7TH AVENUE";"Vancouver West";"Fairview VW";"Apartment/Condo";"450000.00";"2014";"213";"1";"2014-10-25";"V0V 0V0"
"V1057168";"Residential Attached";"Sold";"56 1010 EWEN AVENUE";"New Westminster";"Queensborough";"Townhouse";"436000.00";"2005";"195";"3";"2014-10-19";"V3M 5C9"
"V1057836";"Residential Attached";"Sold";"107 428 AGNES STREET";"New Westminster";"Downtown NW";"Apartment/Condo";"170000.00";"1978";"200";"1";"2014-10-27";"V3L 1G1"
"V1058481";"Residential Attached";"Sold";"36 4055 INDIAN RIVER DRIVE";"North Vancouver";"Indian River";"Townhouse";"929000.00";"1992";"191";"3";"2014-10-22";"V7G 2R7"
"V1059268";"Residential Attached";"Sold";"11 2183 PRAIRIE AVENUE";"Port Coquitlam";"Glenwood PQ";"Townhouse";"484842.00";"2014";"186";"4";"2014-10-20";"V3B 1V6"
"V1059339";"Residential Attached";"Sold";"7 2183 PRAIRIE AVENUE";"Port Coquitlam";"Glenwood PQ";"Townhouse";"502900.00";"2014";"185";"4";"2014-10-19";"V3B 1V6"
"V1060875";"Residential Detached";"Sold";"6888 LABURNUM STREET";"Vancouver West";"Kerrisdale";"House/Single Family";"3542000.00";"1992";"178";"6";"2014-10-23";"V6P 5M9"
"V1061174";"Residential Attached";"Sold";"811 774 GREAT NORTHERN WAY";"Vancouver East";"Mount Pleasant VE";"Apartment/Condo";"200000.00";"1972";"179";"1";"2014-10-24";"V5T 1E5"
"V1061845";"Residential Attached";"Sold";"801 728 W 8TH AVENUE";"Vancouver West";"Fairview VW";"Apartment/Condo";"558000.00";"2012";"172";"1";"2014-10-20";"V5Z 0B8"
"V1062083";"Residential Detached";"Sold";"379 CREEK ROAD";"Bowen Island";"Bowen Island";"House/Single Family";"635000.00";"2001";"171";"4";"2014-10-19";"V0N 1G0"
"V1062302";"Residential Attached";"Sold";"311 8651 ACKROYD ROAD";"Richmond";"Brighouse";"Apartment/Condo";"308000.00";"1989";"176";"2";"2014-10-25";"V6X 1B6"
"V1062424";"Residential Attached";"Sold";"311 22255 122ND AVENUE";"Maple Ridge";"West Central";"Apartment/Condo";"223500.00";"2007";"174";"2";"2014-10-26";"V2X 3X8"
"V1062616";"Residential Attached";"Sold";"308 4660 BLACKCOMB WAY";"Whistler";"Benchlands";"Apartment/Condo";"340000.00";"1998";"177";"1";"2014-10-24";"V0N 1B4"
"V1062701";"Land Only";"Sold";"7333 BRIDGE STREET";"Richmond";"McLennan North";"";"925000.00";"0";"169";"0";"2014-10-22";"V6Y 2S6"
"V1062852";"Residential Attached";"Sold";"2401 1415 W GEORGIA STREET";"Vancouver West";"Coal Harbour";"Apartment/Condo";"870000.00";"1991";"171";"2";"2014-10-23";"V6G 3C8"
"V1063329";"Residential Attached";"Sold";"2507 2289 YUKON CRESCENT";"Burnaby North";"Brentwood Park";"Apartment/Condo";"500000.00";"2008";"164";"2";"2014-10-19";"V5C 0B2"
"V1064670";"Residential Detached";"Sold";"3320 RAKANNA PLACE";"Coquitlam";"Hockaday";"House/Single Family";"831000.00";"1995";"163";"6";"2014-10-24";"V3E 3B2"
"V1064993";"Residential Attached";"Sold";"201 9300 PARKSVILLE DRIVE";"Richmond";"Boyd Park";"Apartment/Condo";"236000.00";"1979";"159";"2";"2014-10-22";"V7E 4N9"
"V1065273";"Residential Attached";"Sold";"508 2214 KELLY AVENUE";"Port Coquitlam";"Central Pt Coquitlam";"Apartment/Condo";"237642.00";"2014";"163";"1";"2014-10-24";"V0V 0V0"
"V1065349";"Residential Attached";"Sold";"322 1055 RICHARDS STREET";"Vancouver West";"Downtown VW";"Apartment/Condo";"425000.00";"2009";"155";"1";"2014-10-22";"V6B 0C2"
"V1065465";"Land Only";"Sold";"SL 2 DOUGLAS BAY GAMBIER ISLAND BAY";"Sunshine Coast";"Gambier Island";"";"155000.00";"0";"156";"0";"2014-10-23";"V0N 1V0"
"V1065723";"Residential Attached";"Sold";"305 1330 MARINE DRIVE";"North Vancouver";"Pemberton NV";"Apartment/Condo";"295000.00";"2012";"156";"1";"2014-10-24";"V7P 1T4"
"V1065793";"Residential Attached";"Sold";"2902 188 KEEFER PLACE";"Vancouver West";"Downtown VW";"Apartment/Condo";"625000.00";"2009";"156";"2";"2014-10-22";"V6B 0J1"
"V1065806";"Residential Attached";"Sold";"419 4369 MAIN STREET";"Whistler";"Whistler Village";"Apartment/Condo";"110000.00";"1997";"156";"0";"2014-10-20";"V0N 1B4"
"V1065818";"Residential Detached";"Sold";"1608 W 61ST AVENUE";"Vancouver West";"South Granville";"House/Single Family";"3816080.00";"2013";"154";"6";"2014-10-21";"V6P 5C9"
"V1066628";"Residential Detached";"Sold";"1525 PARK AVENUE";"Sunshine Coast";"Roberts Creek";"House/Single Family";"650000.00";"1979";"148";"4";"2014-10-21";"V0N 2W2"
"V1066740";"Residential Detached";"Sold";"5190 CAMBIE STREET";"Vancouver West";"Cambie";"House/Single Family";"3300000.00";"1954";"155";"1";"2014-10-23";"V5Z 2Z7"
"V1066832";"Residential Detached";"Sold";"5331 JASKOW DRIVE";"Richmond";"Lackner";"House/Single Family";"955000.00";"1986";"153";"4";"2014-10-27";"V7E 5H9"
"V1066899";"Residential Detached";"Sold";"6450 NORVAN ROAD";"Sunshine Coast";"Sechelt District";"House/Single Family";"320000.00";"1982";"155";"3";"2014-10-26";"V0N 3A7"
"V1067118";"Residential Detached";"Sold";"1649 W 66TH AVENUE";"Vancouver West";"S.W. Marine";"House/Single Family";"2928000.00";"2014";"151";"6";"2014-10-21";"V6P 2S1"
"V1067238";"Residential Attached";"Sold";"32 1100 56TH STREET";"Tsawwassen";"Tsawwassen East";"Townhouse";"665000.00";"1993";"152";"4";"2014-10-24";"V4L 2N2"
"V1067351";"Residential Attached";"Sold";"2304 1010 RICHARDS STREET";"Vancouver West";"Yaletown";"Apartment/Condo";"775000.00";"2003";"143";"2";"2014-10-19";"V6B 1G2"
"V1067805";"Residential Detached";"Sold";"5173 1ST AVENUE";"Tsawwassen";"Pebble Hill";"House/Single Family";"629000.00";"1978";"143";"3";"2014-10-19";"V4M 1B4"
"V1067856";"Residential Attached";"Sold";"1007 2004 FULLERTON AVENUE";"North Vancouver";"Pemberton NV";"Apartment/Condo";"259000.00";"1975";"141";"2";"2014-10-21";"V7P 3G8"
"V1067879";"Residential Detached";"Sold";"5537 HANKIN DRIVE";"Richmond";"Terra Nova";"House/Single Family";"1555000.00";"1993";"151";"6";"2014-10-27";"V7C 5N2"
"V1068018";"Residential Detached";"Sold";"307 201 CAYER STREET";"Coquitlam";"Maillardville";"Manufactured";"74900.00";"1974";"147";"3";"2014-10-26";"V3K 2X8"
"V1068020";"Residential Detached";"Sold";"24359 104TH AVENUE";"Maple Ridge";"Albion";"House/Single Family";"534500.00";"2014";"150";"3";"2014-10-27";"V2W 0G7"
"V1068341";"Residential Attached";"Sold";"1505 6951 ELMBRIDGE WAY";"Richmond";"Brighouse";"Apartment/Condo";"353000.00";"2014";"141";"1";"2014-10-21";"V7C 0A4"
"V1068362";"Residential Detached";"Sold";"1670 BABCOCK PLACE";"Tsawwassen";"Cliff Drive";"House/Single Family";"595000.00";"1973";"139";"4";"2014-10-19";"V4M 3L1"
"V1068421";"Residential Detached";"Sold";"2942 W 27TH AVENUE";"Vancouver West";"MacKenzie Heights";"House/Single Family";"2660000.00";"2000";"138";"4";"2014-10-19";"V6L 1W3"
"V1068459";"Residential Detached";"Sold";"63 WOODLAND DRIVE";"Tsawwassen";"Tsawwassen East";"House/Single Family";"876000.00";"1983";"140";"4";"2014-10-21";"V4L 2H7"
"V1068590";"Residential Attached";"Sold";"4931 MARIPOSA COURT";"Richmond";"Riverdale RI";"1/2 Duplex";"700000.00";"1973";"137";"5";"2014-10-19";"V7C 3Z2"
"V1068848";"Residential Detached";"Sold";"7616 EUREKA AVENUE";"Sunshine Coast";"Halfmn Bay Secret Cv Redroofs";"House/Single Family";"620000.00";"9999";"140";"2";"2014-10-20";"V0N 1Y1"
"V1068929";"Residential Attached";"Sold";"72 7288 HEATHER STREET";"Richmond";"McLennan North";"Townhouse";"698000.00";"2005";"146";"4";"2014-10-26";"V6Y 4L4"
"V1069041";"Residential Attached";"Sold";"502 5665 TEREDO STREET";"Sunshine Coast";"Sechelt District";"Apartment/Condo";"654112.00";"2013";"145";"2";"2014-10-22";"V0N 3A0"
"V1069049";"Residential Detached";"Sold";"22481 132ND AVENUE";"Maple Ridge";"Silver Valley";"House/Single Family";"650000.00";"1973";"140";"3";"2014-10-20";"V4R 2P6"
"V1069396";"Residential Attached";"Sold";"11 1850 ARGUE STREET";"Port Coquitlam";"Citadel PQ";"Apartment/Condo";"543000.00";"1992";"140";"2";"2014-10-27";"V3C 5K4"
"V1069397";"Residential Attached";"Sold";"402 428 AGNES STREET";"New Westminster";"Downtown NW";"Apartment/Condo";"139250.00";"1978";"138";"1";"2014-10-25";"V3L 1G1"
"V1069406";"Residential Detached";"Sold";"10771 MADDOCKS ROAD";"Richmond";"McNair";"House/Single Family";"1428000.00";"2012";"137";"6";"2014-10-19";"V7A 3M7"
"V1069470";"Residential Attached";"Sold";"210 3150 VINCENT STREET";"Port Coquitlam";"Glenwood PQ";"Apartment/Condo";"252500.00";"2009";"135";"2";"2014-10-19";"V3B 3T1"
"V1069524";"Residential Detached";"Sold";"2035 E 61ST AVENUE";"Vancouver East";"Fraserview VE";"House/Single Family";"938000.00";"9999";"139";"0";"2014-10-26";"V5P 2K4"
"V1069597";"Residential Attached";"Sold";"5 7280 BLUNDELL ROAD";"Richmond";"Broadmoor";"Townhouse";"655000.00";"1997";"135";"3";"2014-10-19";"V6Y 1J4"
"V1069623";"Residential Attached";"Sold";"111 4759 VALLEY DRIVE";"Vancouver West";"Quilchena";"Apartment/Condo";"1185000.00";"2005";"138";"2";"2014-10-24";"V6J 4B7"
"V1069688";"Residential Detached";"Sold";"1604 PITT RIVER ROAD";"Port Coquitlam";"Mary Hill";"House/Single Family";"515000.00";"1972";"135";"4";"2014-10-23";"V3C 1P4"
"V1069813";"Residential Attached";"Sold";"109 1140 CASTLE CRESCENT";"Port Coquitlam";"Citadel PQ";"Townhouse";"428000.00";"1987";"134";"3";"2014-10-21";"V3C 5M2"
"V1070248";"Residential Attached";"Sold";"406 233 ABBOTT STREET";"Vancouver West";"Downtown VW";"Apartment/Condo";"278000.00";"1996";"136";"0";"2014-10-25";"V6B 2K7"
"V1070374";"Residential Attached";"Sold";"503 535 NICOLA STREET";"Vancouver West";"Coal Harbour";"Apartment/Condo";"3900000.00";"1998";"133";"4";"2014-10-23";"V6G 3G2"
"V1070423";"Residential Attached";"Sold";"2783 W 8TH AVENUE";"Vancouver West";"Kitsilano";"1/2 Duplex";"925000.00";"2014";"137";"3";"2014-10-27";"V6K 2B7"
"V1070518";"Residential Attached";"Sold";"2785 W 8TH AVENUE";"Vancouver West";"Kitsilano";"1/2 Duplex";"1055000.00";"2014";"136";"3";"2014-10-27";"V6K 2B7"
"V1070555";"Residential Attached";"Sold";"311 1345 W 4TH AVENUE";"Vancouver West";"False Creek";"Apartment/Condo";"410000.00";"1985";"136";"2";"2014-10-27";"V6H 3Y8"
"V1070611";"Residential Attached";"Sold";"416 12635 190A STREET";"Pitt Meadows";"Mid Meadows";"Apartment/Condo";"314900.00";"2014";"133";"2";"2014-10-22";"V0V 0V0"
"V1071189";"Residential Attached";"Sold";"2202 183 KEEFER PLACE";"Vancouver West";"Downtown VW";"Apartment/Condo";"547500.00";"1995";"127";"2";"2014-10-21";"V6B 6B9"
"V1071495";"Residential Detached";"Sold";"7888 SELKIRK STREET";"Vancouver West";"Marpole";"House/Single Family";"1670000.00";"1990";"128";"6";"2014-10-22";"V6P 4H6"
"V1071704";"Residential Detached";"Sold";"944 FRIAR CRESCENT";"North Vancouver";"Dollarton";"House/Single Family";"1128000.00";"1959";"125";"4";"2014-10-23";"V7G 1M7"
"V1071831";"Multifamily";"Sold";"4720-4722 GRASSMERE STREET";"Burnaby South";"Forest Glen BS";"Duplex";"1518000.00";"1974";"122";"10";"2014-10-19";"V5G 3Z5"
"V1071833";"Residential Attached";"Sold";"41 12161 237TH STREET";"Maple Ridge";"East Central";"Townhouse";"301841.00";"2014";"127";"3";"2014-10-22";"V0V 0V0"
"V1071945";"Residential Attached";"Sold";"112 12207 224TH STREET";"Maple Ridge";"West Central";"Apartment/Condo";"165500.00";"1998";"122";"2";"2014-10-20";"V2X 6B9"
"V1071975";"Residential Attached";"Sold";"303 2983 CAMBRIDGE STREET";"Port Coquitlam";"Glenwood PQ";"Apartment/Condo";"191000.00";"1999";"125";"2";"2014-10-23";"V3B 7N7"
"V1072100";"Residential Detached";"Sold";"1512 PARKWAY BOULEVARD";"Coquitlam";"Westwood Plateau";"House/Single Family";"1120000.00";"1993";"123";"6";"2014-10-24";"V3E 2V7"
"V1072261";"Residential Attached";"Sold";"113 918 RODERICK AVENUE";"Coquitlam";"Maillardville";"Apartment/Condo";"122800.00";"1990";"128";"2";"2014-10-26";"V3K 1R1"
"V1072265";"Residential Attached";"Sold";"804 1680 BAYSHORE DRIVE";"Vancouver West";"Coal Harbour";"Apartment/Condo";"1250000.00";"2002";"121";"2";"2014-10-23";"V6G 3H6"
"V1072561";"Residential Attached";"Sold";"205 12020 207A STREET";"Maple Ridge";"Northwest Maple Ridge";"Apartment/Condo";"224900.00";"2005";"123";"2";"2014-10-26";"V2X 8V2"
"V1072714";"Residential Attached";"Sold";"17 7240 MOFFATT ROAD";"Richmond";"Brighouse South";"Townhouse";"528000.00";"1987";"121";"4";"2014-10-22";"V6Y 3N7"
"V1072774";"Residential Detached";"Sold";"4488 CAMOSUN STREET";"Vancouver West";"Dunbar";"House/Single Family";"3150000.00";"1993";"121";"7";"2014-10-23";"V6S 2K6"
"V1072862";"Residential Detached";"Sold";"5901 SKOOKUMCHUK ROAD";"Sunshine Coast";"Sechelt District";"House/Single Family";"310000.00";"1992";"116";"3";"2014-10-20";"V0N 3A4"
"V1072904";"Residential Detached";"Sold";"10451 ARAGON ROAD";"Richmond";"McNair";"House/Single Family";"1128000.00";"1996";"118";"5";"2014-10-21";"V7A 3E8"
"V1073500";"Residential Attached";"Sold";"213 25 RICHMOND STREET";"New Westminster";"Fraserview NW";"Apartment/Condo";"357000.00";"1991";"109";"2";"2014-10-19";"V3L 5P9"
"V1073523";"Residential Detached";"Sold";"3332 W 27TH AVENUE";"Vancouver West";"Dunbar";"House/Single Family";"1835000.00";"1926";"114";"5";"2014-10-19";"V6S 1P6"
"V1073630";"Residential Detached";"Sold";"10068 243A STREET";"Maple Ridge";"Albion";"House/Single Family";"480000.00";"2001";"113";"3";"2014-10-24";"V2W 1X3"
"V1073636";"Residential Detached";"Sold";"333 BOYNE STREET";"New Westminster";"Queensborough";"House/Single Family";"468000.00";"1969";"120";"4";"2014-10-25";"V3M 5J9"
"V1073649";"Residential Attached";"Sold";"202 22230 NORTH AVENUE";"Maple Ridge";"West Central";"Apartment/Condo";"107000.00";"1999";"116";"1";"2014-10-27";"V2X 2L5"
"V1073684";"Residential Attached";"Sold";"729 UNION STREET";"Vancouver East";"Mount Pleasant VE";"Townhouse";"610000.00";"2014";"117";"2";"2014-10-27";"V6A 2C3"
"V1073700";"Residential Detached";"Sold";"272 E 60TH AVENUE";"Vancouver East";"South Vancouver";"House/Single Family";"1300000.00";"2013";"116";"7";"2014-10-26";"V5X 1Z7"
"V1073708";"Residential Attached";"Sold";"213 910 W 8TH AVENUE";"Vancouver West";"Fairview VW";"Apartment/Condo";"570000.00";"1987";"110";"2";"2014-10-21";"V5Z 1E5"
"V1073743";"Residential Detached";"Sold";"236 E 4TH STREET";"North Vancouver";"Lower Lonsdale";"House/Single Family";"785000.00";"1979";"118";"3";"2014-10-26";"V7L 1H9"
"V1073750";"Residential Attached";"Sold";"101 2165 ARGYLE AVENUE";"West Vancouver";"Dundarave";"Apartment/Condo";"1089000.00";"1974";"112";"2";"2014-10-21";"V7V 1A5"
"V1073889";"Residential Detached";"Sold";"1818 CAMELBACK COURT";"Coquitlam";"Westwood Plateau";"House/Single Family";"930000.00";"2000";"108";"3";"2014-10-20";"V3E 3K4"
"V1073989";"Residential Detached";"Sold";"5540 JASKOW DRIVE";"Richmond";"Lackner";"House/Single Family";"1120000.00";"1986";"115";"4";"2014-10-27";"V7E 5Y8"
"V1074022";"Residential Detached";"Sold";"1152 GROVER AVENUE";"Coquitlam";"Central Coquitlam";"House/Single Family";"1752000.00";"2008";"109";"5";"2014-10-21";"V3J 3G1"
"V1074141";"Residential Detached";"Sold";"1469 LABURNUM STREET";"Pemberton";"Pemberton";"House/Single Family";"455000.00";"1990";"114";"4";"2014-10-24";"V0N 2L0"
"V1074211";"Residential Attached";"Sold";"4 19063 MCMYN ROAD";"Pitt Meadows";"Mid Meadows";"Townhouse";"335000.00";"2004";"113";"3";"2014-10-26";"V3Y 2W5"
"V1074237";"Residential Detached";"Sold";"1785 27TH STREET";"West Vancouver";"Dundarave";"House/Single Family";"2150000.00";"1967";"105";"5";"2014-10-20";"V7V 4K9"
"V1074258";"Residential Detached";"Sold";"12125 ACADIA STREET";"Maple Ridge";"West Central";"House/Single Family";"409000.00";"9999";"112";"3";"2014-10-23";"V2X 3B5"
"V1074293";"Residential Attached";"Sold";"2805 2978 GLEN DRIVE";"Coquitlam";"North Coquitlam";"Apartment/Condo";"442000.00";"2009";"116";"3";"2014-10-27";"V3B 0C3"
"V1074309";"Residential Detached";"Sold";"5199 PANDORA STREET";"Burnaby North";"Capitol Hill BN";"House/Single Family";"968000.00";"1930";"106";"3";"2014-10-21";"V5B 1L7"
"V1074480";"Residential Detached";"Sold";"2552 CHAIRLIFT ROAD";"West Vancouver";"Chelsea Park";"House/Single Family";"3350000.00";"1992";"109";"6";"2014-10-24";"V7S 3E5"
"V1074769";"Residential Attached";"Sold";"105 12655 190A STREET";"Pitt Meadows";"Mid Meadows";"Apartment/Condo";"294900.00";"2014";"111";"2";"2014-10-27";"V0V 0V0"
"V1074907";"Residential Attached";"Sold";"606 5599 COONEY ROAD";"Richmond";"Brighouse";"Apartment/Condo";"294800.00";"2017";"116";"1";"2014-10-21";"V6X 3M6"
"V1075128";"Residential Detached";"Sold";"5888 MARGUERITE STREET";"Vancouver West";"South Granville";"House/Single Family";"7360000.00";"2014";"109";"5";"2014-10-26";"V6M 3K8"
"V1075129";"Residential Attached";"Sold";"B6 1070 W 7TH AVENUE";"Vancouver West";"Fairview VW";"Townhouse";"827500.00";"1980";"101";"2";"2014-10-19";"V6H 1B3"
"V1075505";"Residential Attached";"Sold";"903 289 DRAKE STREET";"Vancouver West";"Yaletown";"Apartment/Condo";"680000.00";"1995";"100";"2";"2014-10-21";"V6B 5Z5"
"V1075588";"Residential Attached";"Sold";"D201 1400 ALTA LAKE ROAD";"Whistler";"Whistler Creek";"Apartment/Condo";"229500.00";"1975";"101";"1";"2014-10-20";"V0N 1B1"
"V1075643";"Residential Attached";"Sold";"3002 4333 CENTRAL BOULEVARD";"Burnaby South";"Metrotown";"Apartment/Condo";"606000.00";"2005";"102";"2";"2014-10-24";"V5H 4W8"
"V1075835";"Residential Attached";"Sold";"143 2211 NO 4 ROAD";"Richmond";"Bridgeport RI";"Townhouse";"299000.00";"1994";"103";"2";"2014-10-25";"V6X 3X1"
"V1075836";"Residential Detached";"Sold";"4878 SLOCAN STREET";"Vancouver East";"Collingwood VE";"House/Single Family";"1530000.00";"1965";"105";"3";"2014-10-24";"V5R 2A3"
"V1075970";"Residential Detached";"Sold";"6600 MAPLE ROAD";"Richmond";"Woodwards";"House/Single Family";"2655000.00";"1991";"97";"7";"2014-10-19";"V7E 1G5"
"V1076019";"Residential Detached";"Sold";"4460 MCKEE STREET";"Burnaby South";"South Slope";"House/Single Family";"1270000.00";"1993";"104";"6";"2014-10-26";"V5J 2S8"
"V1076065";"Residential Attached";"Sold";"138 5421 10TH AVENUE";"Tsawwassen";"Tsawwassen Central";"Townhouse";"385000.00";"1978";"99";"2";"2014-10-22";"V4M 3T9"
"V1076159";"Residential Detached";"Sold";"25425 GODWIN DRIVE";"Maple Ridge";"Whonnock";"House/Single Family";"799904.00";"2015";"98";"4";"2014-10-21";"V2W 1G9"
"V1076161";"Residential Attached";"Sold";"304 5920 EAST BOULEVARD";"Vancouver West";"Kerrisdale";"Apartment/Condo";"395000.00";"1974";"100";"1";"2014-10-22";"V6M 3V4"
"V1076269";"Residential Attached";"Sold";"501 6233 KATSURA STREET";"Richmond";"McLennan North";"Apartment/Condo";"415000.00";"2005";"96";"2";"2014-10-20";"V6Y 4K1"
"V1076277";"Residential Detached";"Sold";"830 ALPHA AVENUE";"Burnaby North";"Brentwood Park";"House/Single Family";"878000.00";"1947";"101";"6";"2014-10-25";"V5C 5P5"
"V1076434";"Residential Attached";"Sold";"W407 488 KINGSWAY";"Vancouver East";"Mount Pleasant VE";"Apartment/Condo";"317000.00";"1995";"102";"2";"2014-10-24";"V5T 3J9"
"V1076480";"Residential Attached";"Sold";"PH3 4888 BRENTWOOD DRIVE";"Burnaby North";"Brentwood Park";"Apartment/Condo";"480670.00";"2008";"101";"2";"2014-10-26";"V5C 0C6"
"V1076536";"Residential Detached";"Sold";"5139 RADCLIFFE ROAD";"Sunshine Coast";"Sechelt District";"House/Single Family";"400000.00";"1974";"94";"4";"2014-10-19";"V0N 3A2"
"V1076625";"Residential Attached";"Sold";"405 1203 PEMBERTON AVENUE";"Squamish";"Downtown SQ";"Apartment/Condo";"270000.00";"1997";"96";"2";"2014-10-25";"V8B 0J7"
"V1076684";"Residential Detached";"Sold";"20914 ALPINE CRESCENT";"Maple Ridge";"Northwest Maple Ridge";"House/Single Family";"520000.00";"1979";"92";"4";"2014-10-21";"V4R 2N8"
"V1076693";"Residential Detached";"Sold";"12147 ROTHSAY STREET";"Maple Ridge";"Northeast";"House with Acreage";"512000.00";"1973";"97";"3";"2014-10-26";"V2W 1E2"
"V1076755";"Land Only";"Sold";"4888 OXFORD STREET";"Burnaby North";"Capitol Hill BN";"";"875000.00";"0";"98";"0";"2014-10-25";"V5C 1E8"
"V1076756";"Land Only";"Sold";"4878 OXFORD STREET";"Burnaby North";"Capitol Hill BN";"";"875000.00";"0";"98";"0";"2014-10-25";"V5C 1E8"
"V1076877";"Residential Attached";"Sold";"3448 COPELAND AVENUE";"Vancouver East";"Champlain Heights";"Townhouse";"363000.00";"1981";"91";"3";"2014-10-20";"V5S 4B6"
"V1076896";"Residential Attached";"Sold";"1105 188 KEEFER PLACE";"Vancouver West";"Downtown VW";"Apartment/Condo";"398000.00";"2009";"95";"1";"2014-10-24";"V6B 0J1"
"V1076953";"Residential Attached";"Sold";"303 688 E 16TH AVENUE";"Vancouver East";"Fraser VE";"Apartment/Condo";"367000.00";"1999";"96";"2";"2014-10-26";"V5T 2V4"
"V1076963";"Residential Detached";"Sold";"2615 KEITH DRIVE";"Vancouver East";"Mount Pleasant VE";"House/Single Family";"765000.00";"9999";"95";"2";"2014-10-23";"V5T 4C5"
"V1077011";"Residential Attached";"Sold";"6121 OAK STREET";"Vancouver West";"South Granville";"Townhouse";"1070000.00";"2009";"97";"4";"2014-10-27";"V6M 2W3"
"V1077092";"Residential Attached";"Sold";"93 2428 NILE GATE";"Port Coquitlam";"Riverwood";"Townhouse";"372000.00";"2012";"97";"2";"2014-10-26";"V3B 8G8"
"V1077128";"Residential Detached";"Sold";"4778 TRAFALGAR STREET";"Vancouver West";"MacKenzie Heights";"House/Single Family";"4450000.00";"2014";"90";"6";"2014-10-21";"V6L 2M9"
"V1077165";"Residential Attached";"Sold";"403 4550 FRASER STREET";"Vancouver East";"Fraser VE";"Apartment/Condo";"484900.00";"2011";"92";"2";"2014-10-21";"V5V 4G8"
"V1077169";"Residential Detached";"Sold";"1725 30TH STREET";"West Vancouver";"Altamont";"House/Single Family";"3177500.00";"1989";"90";"4";"2014-10-21";"V7V 4P1"
"V1090768";"Residential Attached";"Sold";"22 2458 PITT RIVER ROAD";"Port Coquitlam";"Mary Hill";"Townhouse";"345000.00";"1995";"3";"3";"2014-10-23";"V3C 1R9"
"V1077286";"Residential Attached";"Sold";"113 83 STAR CRESCENT";"New Westminster";"Queensborough";"Apartment/Condo";"250000.00";"1998";"93";"2";"2014-10-24";"V3M 6X8"
"V1077300";"Residential Detached";"Sold";"4730 MAPLERIDGE DRIVE";"North Vancouver";"Canyon Heights NV";"House/Single Family";"1322500.00";"1956";"92";"4";"2014-10-24";"V7R 3T5"
"V1077312";"Residential Attached";"Sold";"707 55 TENTH STREET";"New Westminster";"Downtown NW";"Apartment/Condo";"163100.00";"1993";"89";"1";"2014-10-19";"V3M 6R5"
"V1077321";"Residential Detached";"Sold";"6768 FLEMING STREET";"Vancouver East";"Knight";"House/Single Family";"1490000.00";"1996";"96";"6";"2014-10-25";"V5P 3H5"
"V1077334";"Residential Detached";"Sold";"2737 W 36TH AVENUE";"Vancouver West";"MacKenzie Heights";"House/Single Family";"2010000.00";"1967";"96";"5";"2014-10-21";"V6N 2P7"
"V1077367";"Residential Detached";"Sold";"1023 KEITH ROAD";"West Vancouver";"Sentinel Hill";"House/Single Family";"2000000.00";"9999";"96";"5";"2014-10-27";"V7T 1M6"
